Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Pulseiras Diversos",5236992,"0003029185","Pulseira",18,"","Cor: Preto
Material: Courino e Metal
Ajustável
Medidas do Produto(cm)
Largura 6
Altura 6
Profundidade 2.5
Peso: 18g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1817,0,9.9,0,0,0,,,False,False,"PulseiraCour03029185.jpg","PulseiraCour03029185.jpg","PulseiraCour03029185M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5236998,"0003029164","Pulseira",14,"","Cor: Marrom
Material: Courino e Metal
Ajustável
Medidas do Produto(cm)
Largura 6
Altura 6
Profundidade 2.5
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,2,0,True,1413,0,9.9,0,0,0,,,False,False,"PulseiraCour03029164.jpg","PulseiraCour03029164.jpg","PulseiraCour03029164M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5237000,"0003029170","Pulseira",12,"","Cor: Preto
Material: Courino e Metal
Pingentes Sortidos
Ajustável
Medidas do Produto(cm)
Largura 6
Altura 6
Profundidade 1.4
Peso: 12g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,10,0,True,1217,0,9.9,0,0,0,,,False,False,"PulseiraCour03029170.jpg","PulseiraCour03029170.jpg","PulseiraCour03029170M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5250983,"0003027026","Pulseira",18,"","Cor: Verde e Grafite
Material: Missanga e Metal
Medidas do Produto(cm)
Largura 1
Altura 26.2
Profundidade 0.9
Peso: 18g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,10,0,True,1807,0,6,0,0,0,,,False,False,"PulseiraMiss03027026.jpg","PulseiraMiss03027026.jpg","PulseiraMiss03027026M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5250993,"0003027025","Pulseira",18,"","Cor: Verde e Prata
Material: Missanga e Metal
Medidas do Produto(cm)
Largura 1
Altura 26.2
Profundidade 0.9
Peso: 18g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,3,0,True,1807,0,6,0,0,0,,,False,False,"PulseiraMiss03027025.jpg","PulseiraMiss03027025.jpg","PulseiraMiss03027025M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5251003,"0003027023","Pulseira",14,"","Colorido
Material: Missanga e Metal
Medidas do Produto(cm)
Largura 0.9
Altura 26.2
Profundidade 0.9
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,3,0,True,1407,0,6,0,0,0,,,False,False,"PulseiraMiss03027023.jpg","PulseiraMiss03027023.jpg","PulseiraMiss03027023M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5251005,"0003027022","Pulseira",14,"","Colorido
Material: Missanga e Metal
Medidas do Produto(cm)
Largura 0.9
Altura 26.2
Profundidade 0.9
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,2,0,True,1407,0,6,0,0,0,,,False,False,"PulseiraMiss03027022.jpg","PulseiraMiss03027022.jpg","PulseiraMiss03027022M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5251006,"0003027024","Pulseira",14,"","Colorido
Material: Missanga e Metal
Medidas do Produto(cm)
Largura 0.9
Altura 26.2
Profundidade 0.9
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,1,0,True,1407,0,6,0,0,0,,,False,False,"PulseiraMiss03027024.jpg","PulseiraMiss03027024.jpg","PulseiraMiss03027024M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5251096,"0003027029","Pulseira",14,"","Colorido
Material: Missanga e Metal
Medidas do Produto(cm)
Largura 1.3
Altura 26.2
Profundidade 0.9
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,8,0,True,1407,0,6,0,0,0,,,False,False,"PulseiraMiss03027029.jpg","PulseiraMiss03027029.jpg","PulseiraMiss03027029M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5251099,"0003027030","Pulseira",14,"","Colorido
Material: Missanga e Metal
Medidas do Produto(cm)
Largura 1.3
Altura 26.2
Profundidade 0.9
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1407,0,6,0,0,0,,,False,False,"PulseiraMiss03027030.jpg","PulseiraMiss03027030.jpg","PulseiraMiss03027030M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
